,firstname,lastname,email,password,image
0,pradeep,saini,C1@gmail.com,C1,c
1,nivedita,shanker,C2@gmail.com,C2,c
2,palak,munet,C3@gmail.com,C3,e
3,parul,singh,C4@gmail.com,C4,a
4,prateek,talesara,C5@gmail.com,C5,b
5,nikhil,jain,C6@gmail.com,C6,d
6,prateek,navalakha,C7@gmail.com,C7,h
7,pranav,dixit,C8@gmail.com,C8,f
8,mridul,sharma,C9@gmail.com,C9,a
9,mukul,goyal,C10@gmail.com,C10,g
10,niranjan,khandelwal,C11@gmail.com,C11,d
11,nishchal,shah,C12@gmail.com,C12,g
12,prabhat,jain,C13@gmail.com,C13,f
